jis_code	url	system_type	crawl_status	exclusion_reason	exclusion_detail
13121	https://www.city.adachi.tokyo.jp/sesaku/ku/kuse/gyose-h28-gyosehyoka.html	独自	enabled		2026-09-17 確認: 本文に『事務事業評価』／添付54件
13122	https://www.city.katsushika.lg.jp/information/1000085/1006294/1006357.html	独自	review_required	needs_confirmation	2026-09-17: 『行政評価』と『評価表』。評価表は下の階層にある
13123			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13201	https://www.city.hachioji.tokyo.jp/shisei/001/004/004/002/p035956.html	独自	enabled		
13202	https://www.city.tachikawa.lg.jp/shisei/sesaku/1006562/index.html	独自	review_required	needs_confirmation	2026-09-17: 『行政評価』と『評価表』。評価表は下の階層にある
13203			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13204	https://www.city.mitaka.lg.jp/c_categories/index05009005.html	独自	review_required	weak_signal	2026-09-17: 評価の入口『三鷹市 ｜行政評価』
13205	https://www.city.ome.tokyo.jp/soshiki/80/65722.html	独自	enabled		
13206	https://www.city.fuchu.tokyo.jp/gyosei/zaise/gyozaisekaikaku/jimujigyo/index.html	独自	enabled		
13207			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13208			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13209	https://www.city.machida.tokyo.jp/shisei/gyousei/keiei/machidashiwake/zigyohyoka.html	独自	enabled		2026-09-17 確認: 『事業評価』と『評価シート』／添付10件
13210	https://www.city.koganei.lg.jp/shisei/zaiseiyosan/kaikaku/hyoka/24gyouseihyouka2.html	独自	review_required	needs_confirmation	2026-09-17: 本文に『事務事業評価』。評価表は下の階層にある
13211	https://www.city.kodaira.tokyo.jp/kurashi/071/071864.html	独自	enabled		2026-09-17 確認: 本文に『事務事業評価』／添付3件
13212	https://www.city.hino.lg.jp/shisei/gyozaisei/hyoka/1025984/1005052.html	独自	enabled		2026-09-17 確認: 年度ごとの評価文書 3 件
13213			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13214	https://www.city.kokubunji.tokyo.jp/shisei/houshin/shiryou/1020308/index.html	独自	enabled		
13215			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13218	https://www.city.fussa.tokyo.jp/municipal/management/reform/1003477.html	独自	enabled		2026-09-17 確認: 年度ごとの評価文書 5 件
13219	https://www.city.komae.tokyo.jp/index.cfm/46,0,362,3163,html	独自	enabled		2026-09-17 確認: 年度ごとの評価文書 5 件
13220	https://www.city.higashiyamato.lg.jp/shisei/torikumi/1005026/1005048/1012262.html	独自	enabled		2026-09-17 確認: 本文に『事務事業評価』／添付13件
13221	https://www.city.kiyose.lg.jp/siseijouhou/machizukuri/gyouseikeiei/index.html	独自	review_required	weak_signal	2026-09-17: 評価の入口『行政経営｜清瀬市公式ホームページ』
13222	https://www.city.higashikurume.lg.jp/shisei/gyousaisei/hyoka/1005527/1005563.html	独自	enabled		
13223	https://www.city.musashimurayama.lg.jp/shisei/shisaku/gyouseihyouka/1021943.html	独自	enabled		2026-09-17 確認: 『行政評価』と『評価調書』／添付19件
13224	https://www.city.tama.lg.jp/shisei/keikaku/sougoukeikaku/1017054.html	独自	review_required	weak_signal	2026-09-17: 評価の入口『多摩市行政評価レポートについて｜多摩市公式ホーム』
13225	https://www.city.inagi.tokyo.jp/shisei/keikaku_hokoku/1008971/1008973.html	独自	enabled		
13227	https://www.city.hamura.tokyo.jp/0000020270.html	独自	enabled		2026-09-17 確認: 本文に『事務事業評価』／添付16件
13228			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13229	https://www.city.nishitokyo.lg.jp/siseizyoho/sesaku_keikaku/jigyou_hyouka/jimujigyouhyoukanojissihouhou.html	独自	enabled		
13303	https://www.town.mizuho.tokyo.jp/tyosei/004/index.html	独自	review_required	weak_signal	2026-09-17: 評価の入口『行政評価 | 瑞穂町ホームページ』
13305	https://www.town.hinode.tokyo.jp/category/11-6-4-0-0-0-0-0-0-0.html	独自	review_required	weak_signal	2026-09-17: 評価の入口『行政評価 | 日の出町ホームページ』
13307			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13308			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13361			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13362			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13363			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13364			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13381			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13382			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13401			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13402			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13421			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
14000			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
14100	https://www.city.yokohama.lg.jp/city-info/gyosei-kansa/innovation/jigyohyoka/r08/	独自	review_required	needs_confirmation	2026-09-17: 『事業評価』と『評価書』。評価表は下の階層にある
14130	https://www.city.kawasaki.jp/450/page/0000154117.html	独自	enabled		2026-09-17 確認: 年度ごとの評価文書 8 件
14150	https://www.city.sagamihara.kanagawa.jp/shisei/1026766/seido/1026769/gyoseihyouka/1004263.html	独自	enabled		
14201	https://www.city.yokosuka.kanagawa.jp/0830/upi/hyouka/soutenken25.html	独自	enabled		2026-09-17 確認: 本文に『事務事業評価』／添付1件
14203			unresolved	source_url_unresolved	2026-09-17: 以前の候補『開けない』は事務事業評価ではなかった
14204	https://www.city.kamakura.kanagawa.jp/keiki/hyouka/26jimuji.html	独自	enabled		
14205	https://www.city.fujisawa.kanagawa.jp/keiei/shise/kekaku/kaikaku/hyokatop/kohyoshiryo/r7hyoukasheet.html	独自	enabled		
